Antigen,Study,Clone,Cat_Number,Oligo_ID,TotalSeq_Cat,Vendor,Control,RRID,Lot,Custom_Antibody
CD152 (CTLA-4),Mimitou_2021,BNI3,369619,0151,A,BioLegend,FALSE,NA,NA,NA
CD152 (CTLA-4),Qian_2020,BNI3,369619,0151,A,BioLegend,FALSE,NA,NA,NA
CD152 (CTLA-4),Liu_2021,BNI3,369621,0151,C,BioLegend,FALSE,AB_2801015,NA,NA
CD152 (CTLA-4),Stephenson_2021,BNI3,369621,0151,C,BioLegend,FALSE,NA,NA,NA
CD152 (CTLA-4),Su_2020,BNI3,369621,0151,C,NA,FALSE,NA,NA,NA
CD152 (CTLA-4),LeCoz_2021,BNI3,369621,0151,C,BioLegend,FALSE,NA,NA,NA
CD152 (CTLA-4),Trzupek_2020,BNI3,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD152 (CTLA-4),Trzupek_2020,BNI3,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD152 (CTLA-4),Trzupek_2020,BNI3,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD154,Hao_2021,24-31,310843,0032,A,BioLegend,FALSE,AB_2734283,NA,NA
CD154,PomboAntunes_2021,24-31,310843,0032,A,BioLegend,FALSE,AB_2734283,NA,NA
CD154,Mimitou_2021,24-31,310843,0032,A,BioLegend,FALSE,NA,NA,NA
CD154,Qian_2020,24-31,310843,0032,A,BioLegend,FALSE,NA,NA,NA
CD154,Liu_2021,24-31,310849,0032,C,BioLegend,FALSE,AB_2800808,NA,NA
CD154,Stephenson_2021,24-31,310849,0032,C,BioLegend,FALSE,NA,NA,NA
CD154,Su_2020,24-31,310849,0032,C,NA,FALSE,NA,NA,NA
CD154,LeCoz_2021,24-31,310849,0032,C,BioLegend,FALSE,NA,NA,NA
CD154,Wang_2020_PBMC,NA,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD154,RinconArevalo_2021,24-31,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD155,PomboAntunes_2021,SKII.4,337623,0023,A,BioLegend,FALSE,AB_2749963,NA,NA
CD155 (PVR),Hao_2021,SKII.4,337623,0023,A,BioLegend,FALSE,AB_2749963,NA,NA
CD155 (PVR),Mimitou_2021,SKII.4,337623,0023,A,BioLegend,FALSE,NA,NA,NA
CD155 (PVR),Qian_2020,SKII.4,337623,0023,A,BioLegend,FALSE,NA,NA,NA
CD155 (PVR),Liu_2021,SKII.4,337635,0023,C,BioLegend,FALSE,AB_2814233,NA,NA
CD155 (PVR),Stephenson_2021,SKII.4,337635,0023,C,BioLegend,FALSE,NA,NA,NA
CD155 (PVR),Su_2020,SKII.4,337635,0023,C,NA,FALSE,NA,NA,NA
CD155 (PVR),LeCoz_2021,SKII.4,337635,0023,C,BioLegend,FALSE,NA,NA,NA
CD158,Wu_2021_b,HP-MA4,339515,0420,A,BioLegend,FALSE,AB_2800901,NA,NA
CD158,PomboAntunes_2021,HP-MA4,339515,0420,A,BioLegend,FALSE,AB_2800901,NA,NA
CD158 (KIR2DL1/S1/S3/S5),Hao_2021,HP-MA4,339515,0420,A,BioLegend,FALSE,AB_2800901,NA,NA
CD158 (KIR2DL1/S1/S3/S5),Mimitou_2021,HP-MA4,339515,0420,A,BioLegend,FALSE,NA,NA,NA
CD158 (KIR2DL1/S1/S3/S5),Liu_2021,HP-MA4,339517,0420,C,BioLegend,FALSE,AB_2814252,NA,NA
CD158 (KIR2DL1/S1/S3/S5),Stephenson_2021,HP-MA4,339517,0420,C,BioLegend,FALSE,NA,NA,NA
CD158 (KIR2DL1/S1/S3/S5),Su_2020,HP-MA4,339517,0420,C,NA,FALSE,NA,NA,NA
CD158 (KIR2DL1/S1/S3/S5),LeCoz_2021,HP-MA4,339517,0420,C,BioLegend,FALSE,NA,NA,NA
CD158b,PomboAntunes_2021,DX27,312615,0592,A,BioLegend,FALSE,AB_2800818,NA,NA
"CD158b (KIR2DL2/L3, NKAT2)",Hao_2021,DX27,312615,0592,A,BioLegend,FALSE,AB_2800818,NA,NA
"CD158b (KIR2DL2/L3, NKAT2)",Mimitou_2021,DX27,312615,0592,A,BioLegend,FALSE,NA,NA,NA
"CD158b (KIR2DL2/L3, NKAT2)",Liu_2021,DX27,312619,0592,C,BioLegend,FALSE,AB_2819944,NA,NA
"CD158b (KIR2DL2/L3, NKAT2)",Stephenson_2021,DX27,312619,0592,C,BioLegend,FALSE,NA,NA,NA
"CD158b (KIR2DL2/L3, NKAT2)",Su_2020,DX27,312619,0592,C,NA,FALSE,NA,NA,NA
"CD158b (KIR2DL2/L3, NKAT2)",LeCoz_2021,DX27,312619,0592,C,BioLegend,FALSE,NA,NA,NA
CD158e1,Wu_2021_b,DX9,312723,0599,A,BioLegend,FALSE,AB_2800819,NA,NA
CD158e1,PomboAntunes_2021,DX9,312723,0599,A,BioLegend,FALSE,AB_2800819,NA,NA
"CD158e1 (KIR3DL1, NKB1)",Hao_2021,DX9,312723,0599,A,BioLegend,FALSE,AB_2800819,NA,NA
"CD158e1 (KIR3DL1, NKB1)",Mimitou_2021,DX9,312723,0599,A,BioLegend,FALSE,NA,NA,NA
"CD158e1 (KIR3DL1, NKB1)",Liu_2021,DX9,312725,0599,C,BioLegend,FALSE,AB_2814161,NA,NA
"CD158e1 (KIR3DL1, NKB1)",Stephenson_2021,DX9,312725,0599,C,BioLegend,FALSE,NA,NA,NA
"CD158e1 (KIR3DL1, NKB1)",Su_2020,DX9,312725,0599,C,NA,FALSE,NA,NA,NA
"CD158e1 (KIR3DL1, NKB1)",LeCoz_2021,DX9,312725,0599,C,BioLegend,FALSE,NA,NA,NA
CD158f,Wu_2021_b,UP-R1,341307,0600,A,BioLegend,FALSE,AB_2800904,NA,NA
CD158f,PomboAntunes_2021,UP-R1,341307,0600,A,BioLegend,FALSE,AB_2800904,NA,NA
CD158f (KIR2DL5),Hao_2021,UP-R1,341307,0600,A,BioLegend,FALSE,AB_2800904,NA,NA
CD158f (KIR2DL5),Mimitou_2021,UP-R1,341307,0600,A,BioLegend,FALSE,NA,NA,NA
CD158f (KIR2DL5),Liu_2021,UP-R1,341309,0600,C,BioLegend,FALSE,AB_2810533,NA,NA
CD158f (KIR2DL5),Su_2020,UP-R1,341309,0600,C,NA,FALSE,NA,NA,NA
CD158f (KIR2DL5),Stephenson_2021,UP-R1,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD159a (NKG2A),Kaufmann_2021,#131411,MAB1059-100,NA,NA,R&D,FALSE,NA,FVY0318061,NA
CD16,Fernandez_2020,3G8,302051,NA,NA,BioLegend,FALSE,NA,NA,NA
CD16,Arunachalam_2020,3G8,302061,0083,A,BioLegend,FALSE,AB_2734255,NA,NA
CD16,Hao_2021,3G8,302061,0083,A,BioLegend,FALSE,AB_2734255,NA,NA
CD16,Kotliarov_2020,3G8,302061,0083,A,BioLegend,FALSE,AB_2734255,B269443,FALSE
CD16,Pont_2020,3G8,302061,0083,A,BioLegend,FALSE,AB_2734255,NA,NA
CD16,Witkowski_2020,3G8,302061,0083,A,BioLegend,FALSE,AB_2734255,B271398,NA
CD16,Wu_2021_b,3G8,302061,0083,A,BioLegend,FALSE,AB_2734255,NA,NA
CD16,PomboAntunes_2021,3G8,302061,0083,A,BioLegend,FALSE,AB_2734255,NA,NA
CD16,Mimitou_2021,3G8,302061,0083,A,BioLegend,FALSE,NA,NA,NA
CD16,Qian_2020,3G8,302061,0083,A,BioLegend,FALSE,NA,NA,NA
CD16,Stuart_2019,3G8,302061,0083,NA,NA,FALSE,AB_2734255,NA,NA
CD16,Granja_2019,3G8,302063,NA,B,BioLegend,FALSE,NA,NA,NA
CD16,Liu_2021,3G8,302065,0083,C,BioLegend,FALSE,AB_2800738,NA,NA
CD16,Shangguan_2021,3G8,302065,0083,C,BioLegend,FALSE,AB_2800738,NA,NA
CD16,Stephenson_2021,3G8,302065,0083,C,BioLegend,FALSE,NA,NA,NA
CD16,Su_2020,3G8,302065,0083,C,NA,FALSE,NA,NA,NA
CD16,LeCoz_2021,3G8,302065,0083,C,BioLegend,FALSE,NA,NA,NA
CD16,Kaufmann_2021,B73.1,360702,NA,NA,BioLegend,FALSE,NA,B243320,NA
CD16,Trzupek_2021,3G8,940006,AHS0053,NA,BD Biosciences,FALSE,NA,NA,NA
CD16,Qi_2020,3G8,940006,AHS0053,NA,BD Biosciences,FALSE,NA,NA,NA
CD16,Hao_2021,B73.1,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD16,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD16,Mair_2020,3G8,NA,AHS0053,NA,BD Biosciences,FALSE,NA,NA,NA
CD16,Mimitou_2019,B73.1,NA,NA,NA,NA,FALSE,NA,NA,NA
CD16,Stoeckius_2017,B73.1,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD16,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD16,10x7July2020,3G8,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD16,10x19Nov2018,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD16,10x24July2019,3G8,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD16,10x19Nov2018-2,NA,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD16,10x24July2019-2,3G8,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD16,Trzupek_2020,3G8,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD16,Trzupek_2020,3G8,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD16,Wang_2020_PBMC,NA,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD161,Hao_2021,HP-3G10,339945,0149,A,BioLegend,FALSE,AB_2749998,NA,NA
CD161,Kotliarov_2020,HP-3G10,339945,0149,A,BioLegend,FALSE,AB_2749998,B263373,FALSE
CD161,Witkowski_2020,HP-3G10,339945,0149,A,BioLegend,FALSE,AB_2749998,B275494,NA
CD161,Wu_2021_b,HP-3G10,339945,0149,A,BioLegend,FALSE,AB_2749998,NA,NA
CD161,PomboAntunes_2021,HP-3G10,339945,0149,A,BioLegend,FALSE,AB_2749998,NA,NA
CD161,Mimitou_2021,HP-3G10,339945,0149,A,BioLegend,FALSE,NA,NA,NA
CD161,Qian_2020,HP-3G10,339945,0149,A,BioLegend,FALSE,NA,NA,NA
CD161,Stuart_2019,HP-3G10,339945,0149,NA,NA,FALSE,AB_2749998,NA,NA
CD161,Liu_2021,HP-3G10,339947,0149,C,BioLegend,FALSE,AB_2810532,NA,NA
CD161,Shangguan_2021,HP-3G10,339947,0149,C,BioLegend,FALSE,AB_2810532,NA,NA
CD161,Stephenson_2021,HP-3G10,339947,0149,C,BioLegend,FALSE,NA,NA,NA
CD161,Su_2020,HP-3G10,339947,0149,C,NA,FALSE,NA,NA,NA
CD161,LeCoz_2021,HP-3G10,339947,0149,C,BioLegend,FALSE,NA,NA,NA
CD161,Kaufmann_2021,DX12,556079,NA,NA,BD,FALSE,NA,B7075709,NA
CD161,Qi_2020,DX12,940070,AHS0002,NA,BD Biosciences,FALSE,NA,NA,NA
CD161,Hao_2021,CD161,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD161,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD161,Mair_2020,DX12,NA,AHS0002,NA,BD Biosciences,FALSE,NA,NA,NA
CD161,Trzupek_2020,DX12,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD161,Trzupek_2020,DX12,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD161,Trzupek_2020,DX12,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD161 (KLRB1),Nathan_2021,HP-3G10,339945,0149,NA,NA,FALSE,AB_2749998,NA,NA
CD161 (KLRB1),Trzupek_2021,DX12,940070,AHS0002,NA,BD Biosciences,FALSE,NA,NA,NA
CD162,PomboAntunes_2021,KPL-1,328821,0871,A,BioLegend,FALSE,AB_2814192,NA,NA
CD163,Arunachalam_2020,GHI/61,333635,0358,A,BioLegend,FALSE,AB_2750343,NA,NA
CD163,Hao_2021,GHI/61,333635,0358,A,BioLegend,FALSE,AB_2750343,NA,NA
CD163,Witkowski_2020,GHI/61,333635,0358,A,BioLegend,FALSE,AB_2750343,B270553,NA
CD163,Wu_2021_b,GHI/61,333635,0358,A,BioLegend,FALSE,AB_2750343,NA,NA
CD163,PomboAntunes_2021,GHI/61,333635,0358,A,BioLegend,FALSE,AB_2750343,NA,NA
CD163,Mimitou_2021,GHI/61,333635,0358,A,BioLegend,FALSE,NA,NA,NA
CD163,Qian_2020,GHI/61,333635,0358,A,BioLegend,FALSE,NA,NA,NA
CD163,Liu_2021,GHI/61,333637,0358,C,BioLegend,FALSE,AB_2810510,NA,NA
CD163,Shangguan_2021,GHI/61,333637,0358,C,BioLegend,FALSE,AB_2810510,NA,NA
CD163,Stephenson_2021,GHI/61,333637,0358,C,BioLegend,FALSE,NA,NA,NA
CD163,Su_2020,GHI/61,333637,0358,C,NA,FALSE,NA,NA,NA
CD163,LeCoz_2021,GHI/61,333637,0358,C,BioLegend,FALSE,NA,NA,NA
CD163,Kotliarov_2020,GHI/61,custom made (similar to 95301),0358,A,BioLegend,FALSE,NA,B267027,TRUE
CD163,Mair_2020,GH1/61,NA,AHS0062,NA,BD Biosciences,FALSE,NA,NA,NA
CD163,Fidanza_2020,GHI/61,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD164,Hao_2021,67D2,324809,0821,A,BioLegend,FALSE,AB_2800850,NA,NA
CD164,PomboAntunes_2021,67D2,324809,0821,A,BioLegend,FALSE,AB_2800850,NA,NA
CD164,Mimitou_2021,67D2,324809,0821,A,BioLegend,FALSE,NA,NA,NA
CD164,Vanuytsel_2020,67D2,324809,0821,NA,BioLegend,FALSE,AB_2800850,NA,NA
CD169,PomboAntunes_2021,7-239,346011,0206,A,BioLegend,FALSE,AB_2750011,NA,NA
"CD169 (Sialoadhesin, Siglec-1)",Hao_2021,7-239,346011,0206,A,BioLegend,FALSE,AB_2750011,NA,NA
"CD169 (Sialoadhesin, Siglec-1)",Mimitou_2021,7-239,346011,0206,A,BioLegend,FALSE,NA,NA,NA
"CD169 (Sialoadhesin, Siglec-1)",Liu_2021,7-239,346021,0206,C,BioLegend,FALSE,AB_2810551,NA,NA
"CD169 (Sialoadhesin, Siglec-1)",Stephenson_2021,7-239,346021,0206,C,BioLegend,FALSE,NA,NA,NA
"CD169 (Sialoadhesin, Siglec-1)",Su_2020,7-239,346021,0206,C,NA,FALSE,NA,NA,NA
"CD169 (Sialoadhesin, Siglec-1)",LeCoz_2021,7-239,346021,0206,C,BioLegend,FALSE,NA,NA,NA
CD171,PomboAntunes_2021,L1-OV198.5,371609,0430,A,BioLegend,FALSE,AB_2801019,NA,NA
CD171 (L1CAM),Hao_2021,L1-OV198.5,371609,0430,A,BioLegend,FALSE,AB_2801019,NA,NA
CD171 (LICAM),Mimitou_2021,L1-OV198.5,NA,0430,A,BioLegend,FALSE,NA,NA,NA
CD172a,PomboAntunes_2021,15-414,372109,0408,A,BioLegend,FALSE,AB_2783285,NA,NA
CD172a,Frangieh_2021,15-414,NA,0408,NA,BioLegend,FALSE,NA,NA,NA
CD172a (SIRPa),Hao_2021,15-414,372109,0408,A,BioLegend,FALSE,AB_2783285,NA,NA
CD172a (SIRPα),Mimitou_2021,15-414,372109,0408,A,BioLegend,FALSE,NA,NA,NA
